   ,title,gender_book,author_book,,,,,
1,Conversas sobre política,CRÔNICA,Rubem Alves,,,,,
2,"Avaliar para conhecer, examinar para excluir  - Vol. 2",FORMAÇÃO DO PROFESSOR,Alvarez Mendez,,,,,
3,"Avaliar para conhecer, examinar para excluir  - Vol. 2",FORMAÇÃO DO PROFESSOR,Alvarez Mendez,,,,,
4,Didática da Matemática ,FORMAÇÃO DO PROFESSOR,Cecília Parra (Org.),,,,,
5,Didática da Matemática,FORMAÇÃO DO PROFESSOR,Cecília Parra (Org.),,,,,
6,Normas Regulamentadoras Comentadas,FORMAÇÃO DO PROFESSOR,Giovanni Moraes,,,,,
7,Políticas Curriculares,FORMAÇÃO DO PROFESSOR,J. Pacheco,,,,,
8,Políticas Curriculares,FORMAÇÃO DO PROFESSOR,J. Pacheco,,,,,
9,Ciências Físicas nos ensinos fundamental e médio.,FORMAÇÃO DO PROFESSOR,Jesús Lahera/Ana Fortaleza,,,,,
10,Ciências Físicas nos ensinos fundamental e médio.,FORMAÇÃO DO PROFESSOR,Jesús Lahera/Ana Fortaleza,,,,,
11,Aprendizagem através do jogo,FORMAÇÃO DO PROFESSOR,Juan Antônio Moreno Murcia,,,,,
12,Aprendizagem através do jogo,FORMAÇÃO DO PROFESSOR,Juan Antônio Moreno Murcia,,,,,
13,Tecnologias para transformar a educação,FORMAÇÃO DO PROFESSOR,Juana Maria Sancho e Fernando Hernández,,,,,
14,Tecnologias para transformar a educação,FORMAÇÃO DO PROFESSOR,Juana Maria Sancho e Fernando Hernández,,,,,
15,Na bancada (Manual de Iniciação científica em laboratório),FORMAÇÃO DO PROFESSOR,Kathy Barker,,,,,
16,Na bancada (Manual de Iniciação científica em laboratório),FORMAÇÃO DO PROFESSOR,Kathy Barker,,,,,
17,Como preparar trabalhos para cursos de pós-graduação.,FORMAÇÃO DO PROFESSOR,Maria Margarida de Andrade,,,,,
18,Como preparar trabalhos para cursos de pós-graduação.,FORMAÇÃO DO PROFESSOR,Maria Margarida de Andrade,,,,,
19,Bullying e desrespeito – como acabar com essa cultura na escola,FORMAÇÃO DO PROFESSOR,Marie – Nathelie Beaundoin e outro,,,,,
20,Bullying e desrespeito – como acabar com essa cultura na escola,FORMAÇÃO DO PROFESSOR,Marie – Nathelie Beaundoin e outro,,,,,
21,Alfabetização de Adultos,FORMAÇÃO DO PROFESSOR,Marta Durante,,,,,
22,Alfabetização de Adultos,FORMAÇÃO DO PROFESSOR,Marta Durante,,,,,
23,Pedagogia Diferenciada – Das intenções a ação,FORMAÇÃO DO PROFESSOR,Philippe Perrenoud,,,,,
24,Pedagogia Diferenciada – Das intenções a ação,FORMAÇÃO DO PROFESSOR,Philippe Perrenoud,,,,,
25,Entendendo a dislexia: um novo e completo programa para todos os níveis,FORMAÇÃO DO PROFESSOR,Sally Shaywnz,,,,,
26,Entendendo a dislexia: um novo e completo programa para todos os níveis,FORMAÇÃO DO PROFESSOR,Sally Shaywnz,,,,,
27,Gestão educacional – uma nova visão,FORMAÇÃO DO PROFESSOR,Sônia Simões Colombo,,,,,
28,Gestão educacional – uma nova visão,FORMAÇÃO DO PROFESSOR,Sônia Simões Colombo,,,,,
29,Inteligências Múltiplas na sala de aula.,FORMAÇÃO DO PROFESSOR,Thomas Armstrong ,,,,,
30,Inteligências Múltiplas na sala de aula.,FORMAÇÃO DO PROFESSOR,Thomas Armstrong ,,,,,
31, Camões - Coleção conhecendo os nossos clássicos,LINGUAGENS,Amélia Lacombe,,,,,
32,O Jardim Perdido,LINGUAGENS,Edgar da Rocha Miranda,,,,,
33,100 Jogos dramáticos (teatro),LINGUAGENS,"Maria Clara Machado, Marta Rosman",,,,,
34,100 Jogos dramáticos (teatro),LINGUAGENS,"Maria Clara Machado, Marta Rosman",,,,,
,,,,,,,,
36,A descolonização da Ásia e da África.,HISTÓRIA,Letícia Bicalho Canedo,,,,,
37,A descolonização da Ásia e da África.,HISTÓRIA,Letícia Bicalho Canedo,,,,,
38,A formação da classe operária.,HISTÓRIA,Paul Singer,,,,,
39,A formação da classe operária.,HISTÓRIA,Paul Singer,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
39,A globalização em xeque - incertezas para o século XXI,HISTÓRIA,Bernardo de A. Carvalho,,,,,
40,A globalização em xeque - incertezas para o século XXI,HISTÓRIA,Bernardo de A. Carvalho,,,,,
41,Água vida e energia -  Projeto ciências,BIOLOGIA,Eloci Peres Rios,,,,,
42,Água vida e energia -  Projeto ciências,BIOLOGIA,Eloci Peres Rios,,,,,
43,Cidades em tempos modernos,GEOGRAFIA,Maria Ângela B. Salvadori,,,,,
44,Cidades em tempos modernos,GEOGRAFIA,Maria Ângela B. Salvadori,,,,,
45,A Criação da América.,HISTÓRIA,Lúcia L. Oliveira,,,,,
46,A Criação da América.,HISTÓRIA,Lúcia L. Oliveira,,,,,
47,Do feudalismo ao capitalismo: transições.,HISTÓRIA,Samuel Sergio Salinas,,,,,
48,Do feudalismo ao capitalismo: transições.,HISTÓRIA,Samuel Sergio Salinas,,,,,
49,"Gramática reflexiva: texto, semântica e interação.",GRAMÁTICA,William Roberto Cereja e Thereza Cochar Magalhães,,,,,
50,"Gramática reflexiva: texto, semântica e interação.",GRAMÁTICA,William Roberto Cereja e Thereza Cochar Magalhães,,,,,
51,"Gramática reflexiva: texto, semântica e interação.",GRAMÁTICA,William Roberto Cereja e Thereza Cochar Magalhães,,,,,
52,Iniciação à Sociologia.,SOCIOLOGIA,Nelson Dácio,,,,,
53,Iniciação à Sociologia.,SOCIOLOGIA,Nelson Dácio,,,,,
54,Literatura brasileira em diálogo com outras literaturas e outras linguagens.,LITERATURA,William Roberto Cereja e Thereza Cochar Magalhães,,,,,
55,Literatura brasileira em diálogo com outras literaturas e outras linguagens.,LITERATURA,William Roberto Cereja e Thereza Cochar Magalhães,,,,,
56,O desafio do desenvolvimento sustentável.,GEOGRAFIA,Roberto Giansanti,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
57,O desafio do desenvolvimento sustentável.,GEOGRAFIA,Roberto Giansanti,,,,,
58,O índio e a Conquista Portuguesa,HISTÓRIA,Luiz Koshiba,,,,,
59,O índio e a Conquista Portuguesa,HISTÓRIA,Luiz Koshiba,,,,,
60,O Renascimento,HISTÓRIA,Nicolau Sevcenko,,,,,
61,O Renascimento,HISTÓRIA,Nicolau Sevcenko,,,,,
62,Os segredos do sistema solar,,Paulo Sérgio Bretones,,,,,
63,Os segredos do sistema solar  - Nova Edição,,Paulo Sérgio Bretones,,,,,
64,Por dentro do sistema imunológico,BIOLOGIA,Paulo Cunha,,,,,
65,Por dentro do sistema imunológico,BIOLOGIA,Paulo Cunha,,,,,
66,Pra que serve a matemática? Semelhança.,MATEMÁTICA,Imenes/Jakubo/Lellis,,,,,
67,Pra que serve a matemática? Semelhança.,MATEMÁTICA,Imenes/Jakubo/Lellis,,,,,
68,Texto & interação – uma proposta de produção textual a partir de gêneros e projetos,LINGUAGENS,William Roberto Cereja/Thereza Cochar Magalhães,,,,,
69,Texto & interação – uma proposta de produção textual a partir de gêneros e projetos,LINGUAGENS,William Roberto Cereja/Thereza Cochar Magalhães,,,,,
70,Viagem ao interior da matéria,,Valdir Montanari dos Santos,,,,,
71,Viagem ao interior da matéria,,Valdir Montanari dos Santos,,,,,
72,Os Árabes na época do seu esplendor,,Mokhtar Moktefi/Veronique Ageorges,,,,,
73,A biblioteca escolar – temas para uma prática pedagógica.,FORMAÇÃO DO PROFESSOR,Bernadete Sauto Campello e Márcia Milton,,,,,
74,A biblioteca escolar – temas para uma prática pedagógica.,FORMAÇÃO DO PROFESSOR,Bernadete Sauto Campello e Márcia Milton,,,,,
75,A nova educação e você.,FORMAÇÃO DO PROFESSOR,Sérgio Godinho Oliveira,,,,,
76,A nova educação e você.,FORMAÇÃO DO PROFESSOR,Sérgio Godinho Oliveira,,,,,
77,,,,,,,,
78,A pesquisa na formação e no trabalho docente,FORMAÇÃO DO PROFESSOR,Júlio Emílio Diniz e Kenneth M. Zeichner Pereira,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
78,A pesquisa na formação e no trabalho docente,FORMAÇÃO DO PROFESSOR,Júlio Emílio Diniz /Kenneth M. Zeichner Pereira,,,,,
79,Alfabetização de jovens e adultos (em uma perspectiva de letramento),FORMAÇÃO DO PROFESSOR,Eliana Borges C. de Albuquerque e Telma F. Leal (Orgs.),,,,,
80,Alfabetização de jovens e adultos (em uma perspectiva de letramento),FORMAÇÃO DO PROFESSOR,Eliana Borges C. de Albuquerque e Telma F. Leal (Orgs.),,,,,
81,Ops! - aprendendo a viver com aids,ASSUNTOS DIVERSOS,Bernardo Dania Guiné,,,,,
82,Ops! - aprendendo a viver com aids,ASSUNTOS DIVERSOS,Bernardo Dania Guiné,,,,,
83,Aprendizagem contextualizada: discurso e inclusão na sala de aula,FORMAÇÃO DO PROFESSOR,Maria Lúcia Castanha,,,,,
84,Aprendizagem contextualizada: discurso e inclusão na sala de aula,FORMAÇÃO DO PROFESSOR,Maria Lúcia Castanha,,,,,
85,Democratizando a leitura: pesquisas e práticas.,LINGUAGENS,Maria Aparecida Paiva et al,,,,,
86,Democratizando a leitura: pesquisas e práticas.,LINGUAGENS,Maria Aparecida Paiva et al,,,,,
87,Descobrindo a geometria fractal para a sala de aula.,MATEMÁTICA,Rui Madsen Barbosa,,,,,
88,Descobrindo a geometria fractal para a sala de aula.,MATEMÁTICA,Rui Madsen Barbosa,,,,,
89,Didática da matemática - Col. Tendências em Ed. Matematica),MATEMÁTICA,Luiz Carlos Pais,,,,,
90,Didática da matemática - Col. Tendências em Ed. Matematica),MATEMÁTICA,Luiz Carlos Pais,,,,,
91,Educação escolar e as tecnologias da informática,FORMAÇÃO DO PROFESSOR,Luiz Carlos Pais,,,,,
92,Educação escolar e as tecnologias da informática,FORMAÇÃO DO PROFESSOR,Luiz Carlos Pais,,,,,
93,Etnomatemática,MATEMÁTICA,Ubiratan D᾿Ambrósio,,,,,
,,,,,,,,
94,Etnomatemática,MATEMÁTICA,Ubiratan D᾿Ambrósio,,,,,
95,Física do dia-a-dia – 105 perguntas e respostas sobre física da sala de aula,FÍSICA,Regina Pinto de Carvalho,,,,,
96,Física do dia-a-dia – 105 perguntas e respostas sobre física da sala de aula,FÍSICA,Regina Pinto de Carvalho,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
97,História e Livro e Leitura,LINGUAGENS,André Belo,,,,,
98,História e Livro e Leitura,LINGUAGENS,André Belo,,,,,
99,Leitura e escrita de adolescentes na internet e na escola. ,FORMAÇÃO DO PROFESSOR,Maria Teresa de A. Freitas/Sérgio Roberto,,,,,
100,Leitura e escrita de adolescentes na internet e na escola. ,FORMAÇÃO DO PROFESSOR,Maria Teresa de A. Freitas/Sérgio Roberto,,,,,
101,Leituras Literárias,LITERATURA,Aparecida Paiva Et Al,,,,,
102,Leituras Literárias,LINGUAGENS,Aparecida Paiva Et Al,,,,,
103,Língua Materna e Língua estrangeira na escola – o exemplo da bivalência.,LINGUAGENS,"Ceres Prado
José Carlos Cunha
",,,,,
104,Língua Materna e Língua estrangeira na escola – o exemplo da bivalência.,LINGUAGENS,"Ceres Prado
José Carlos Cunha
",,,,,
105,"Literatura e letramento: espaços, suportes, interfaces, o jogo do livro.",LINGUAGENS,Aparecida Paiva Et Al,,,,,
